Train ID: 0, Start: E, End: B, Length: 200m, Arrival: 23:49:59
Train ID: 1, Start: F, End: B, Length: 200m, Arrival: 23:49:59
Train ID: 2, Start: A, End: E, Length: 100m, Arrival: 23:50:00
Train ID: 3, Start: E, End: A, Length: 100m, Arrival: 23:50:00
Train ID: 4, Start: F, End: A, Length: 100m, Arrival: 23:50:00
Train ID: 5, Start: A, End: E, Length: 200m, Arrival: 23:50:02
Train ID: 6, Start: E, End: A, Length: 200m, Arrival: 23:50:02
Train ID: 7, Start: F, End: A, Length: 200m, Arrival: 23:50:02
Train ID: 8, Start: F, End: A, Length: 200m, Arrival: 23:50:04
Train ID: 9, Start: A, End: F, Length: 100m, Arrival: 23:50:06
Train ID: 10, Start: B, End: F, Length: 100m, Arrival: 23:50:06
Train ID: 11, Start: E, End: B, Length: 200m, Arrival: 23:50:08
Train ID: 12, Start: B, End: F, Length: 200m, Arrival: 23:50:08
Train ID: 13, Start: A, End: F, Length: 200m, Arrival: 23:50:10
Train ID: 14, Start: E, End: A, Length: 200m, Arrival: 23:50:12
Train ID: 15, Start: A, End: F, Length: 100m, Arrival: 23:50:14
Train ID: 16, Start: E, End: B, Length: 100m, Arrival: 23:50:14
Train ID: 17, Start: F, End: B, Length: 100m, Arrival: 23:50:14
Train ID: 18, Start: A, End: F, Length: 200m, Arrival: 23:50:16
Train ID: 19, Start: B, End: F, Length: 200m, Arrival: 23:50:16
Train ID: 20, Start: A, End: E, Length: 200m, Arrival: 23:50:22
Train ID: 21, Start: B, End: E, Length: 200m, Arrival: 23:50:22
